45,E00530003,E00530003,SEAMNT,I,0,E00530003   (ENVIRONMENTAL HEALTH & SAFETY),12/15/2010,12/15/2010
46,E00530004,E00530004,SEAMNT,I,0,E00530004   (PLANT MANAGER),12/15/2010,12/15/2010
47,E00530005,E00530005,SEAMNT,I,0,E00530005   (PLANNING AND CONTROL),12/15/2010,12/15/2010
48,E00530006,E00530006,SEAMNT,I,0,E00530006   (PURCHASING),12/15/2010,12/15/2010
49,E00530007,E00530007,SEAMNT,I,0,E00530007   (RISK PREVENTION),12/15/2010,12/15/2010
50,E00530063,E00530063,SEAMNT,I,0,E00530063   (TECHNICAL OFFICE),12/15/2010,12/15/2010
51,E00530100,E00530100,SEAMNT,D,0,E00530100   (CAPITAL PROJECTS - Direct),12/15/2010,12/15/2010
52,E00530102,E00530102,SEAMNT,D,0,E00530102   (On Board Technicians),12/15/2010,12/15/2010
53,E00530103,E00530103,SEAMNT,D,0,E00530103   (CLEANING),12/15/2010,12/15/2010
54,E00530104,E00530104,SEAMNT,D,0,E00530104   (REPAIRS),12/15/2010,12/15/2010
55,E00530105,E00530105,SEAMNT,D,0,E00530105   (BASE MAINTENANCE),12/15/2010,12/15/2010
56,E00530106,E00530106,SEAMNT,D,0,E00530106   (LOCOMOTIVE MAINTENANCE),12/15/2010,12/15/2010
57,E00550000,E00550000,WISMFG,I,0,E00550000   (GENERAL),12/15/2010,12/15/2010
58,E00550001,E00550001,WISMFG,I,0,E00550001   (HUMAN RESOURCES & IT),12/15/2010,12/15/2010
59,E00550002,E00550002,WISMFG,I,0,E00550002   (WAREHOUSE AND LOGISTICS),12/15/2010,12/15/2010
60,E00550003,E00550003,WISMFG,I,0,E00550003   (ENVIRONMENTAL HEALTH & SAFETY),12/15/2010,12/15/2010
61,E00550004,E00550004,WISMFG,I,0,E00550004   (PLANT MANAGER),12/15/2010,12/15/2010
62,E00550006,E00550006,WISMFG,I,0,E00550006   (PURCHASING),12/15/2010,12/15/2010
63,E00550007,E00550007,WISMFG,I,0,E00550007   (PLANNING),12/15/2010,12/15/2010
64,E00550008,E00550008,WISMFG,I,0,E00550008   (RISK PREVENTION),12/15/2010,12/15/2010
65,E00550061,E00550061,WISMFG,I,0,E00550061   (TECHNICAL),12/15/2010,12/15/2010
66,E00550103,E00550103,WISMFG,D,0,E00550103   (BOILER),12/15/2010,12/15/2010
67,E00550104,E00550104,WISMFG,D,0,E00550104   (MACHINES AND TOOLS),12/15/2010,12/15/2010
68,E00550105,E00550105,WISMFG,D,0,E00550105   (ASSEMBLY),12/15/2010,12/15/2010
69,E00550106,E00550106,WISMFG,D,0,E00550106   (PAINT),12/15/2010,12/15/2010
70,E00550107,E00550107,WISMFG,D,0,E00550107   (WELDING),12/15/2010,12/15/2010
71,E00550108,E00550108,WISMFG,D,0,E00550108   (SET UP),12/15/2010,12/15/2010
72,E00550109,E00550109,WISMFG,D,0,E00550109   (BASE MAINTENANCE),12/15/2010,12/15/2010
